Edges,dense - neo4j,dense-graphlab,Time in min(neo4j),Time in min (gl),,nodes,sparse,,Nodes,Time - dense
20000,41.278182,27,0.688,0.45,,1998,63,,900,41.278182
50000,165.73576,110,2.7623,1.8333,,4800,504,,2080,165.73576
100000,431.60778,350,7.1935,5.8333,,9375,1538,,4000,431.60778
200000,1318.533411,1146,21.9756,19.1,,,,,7950,1318.533411
500000,7692.075359,7002,128.2013,116.7,,,,,20000,7692.075359
1000000,29946.4381,28001,499.1073,466.6833,,,,,40000,29946.4381
